Titre;Description Longue;Commune;code_postal;INSEE;Dispotifs Covid;Statut;Labels;Catégorie;geopoint;adresse
DOMAINE LA PROVENQUIERE;"Le château de la Provenquière date du XVe siècle. Situé à  Capestang à  quelques petits kilomètres du Canal du Midi,  ce domaine a pris le nom de Jean Provenquier, propriétaire du XVe siècle, féminisé suivant la coutume du pays. Il appartenait au XVIIIe siècle à  la branche des Marquis de Puisserguier de la maison de Caylar. 

Le domaine la Provenquière propose des visites et dégustations :
– Dégustation « Découverte » : Dégustation commentée de 1 à 3 vins dans le caveau de dégustation.  (Gratuit – environ 30 mn)
– Dégustation « Iconique » : Dégustation commentée de 5 à 10 vins dans le caveau de dégustation et balade sur la terrasse du château (10€ – 1h environ)
– Visite de la Vigne au Verre : les mardis à 14h30 et jeudis 11h : Visite complète du domaine. Découverte des vignes du domaine, balade ans le parc du château, visite de la cave de vinification, du chai à barriques et dégustation de 1 à 5 vins. (1h30 - 17€ avec dégustation / 10€ sans dégustation).";CAPESTANG;34310;34052;"horaires habituels
 
call and collect";Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.350255, 3.07332109;Route de Maureilhan
LA CAVE VERCHANT;"Parce que la culture du vin ne s’improvise pas, les propriétaires du Domaine de Verchant ont souhaité confier le vignoble à de véritables professionnels, capables de révéler le meilleur de ce terroir.
Trois rouges, aux caractères complémentaires, un rosé à la robe « Pétale de Rose », et un blanc, nouveauté, créé en 2005, forment la gamme homogène du Domaine de Verchant.

Dans les anciennes cuves, deux nouvelles caves ont été aménagées dotées d’une sélection de grands crus Français et étrangers. Notre sommelier propose des dégustations sur une sélection suivant des thématiques pour des groupes jusqu’à 5 personnes.";CASTELNAU-LE-LEZ;34170;34057;;Producteur;Vignobles et Découvertes;Vente de vins au caveau;43.6250159, 3.92147158;1 boulevard Philippe Lamour
DOMAINE SAINT JEAN DE L'ARBOUSIER;"Situé sur les hauteurs de Castries, le Domaine est une ancienne propriété des Templiers datant de 1235. Il appartient à la famille Viguier depuis 4 générations. D’une superficie de 110 hectares, le Domaine abrite un vignoble de 40 hectares ceinturé par les arbousiers et les pins parasols. 

Le domaine dispose d'un hébergement insolite: Les Cabanes de l'arbousier;  étant éloignées les unes des autres, elles vous permettront détente et évasion toute en gardant votre intimité. Alors venez contempler les étoiles, vous réveiller dans le feuillage, surplomber la forêt et savourer le petit déjeuner en terrasse… Ouvrez les yeux, vous êtes en vacances aux Cabanes de l'Arbousier.

Visite gratuite de la cave gravitaire tous les jours à 18h30, de mi-février à mi-novembre (visite possible sur demande)";CASTRIES;34160;34058;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.7112711, 3.96843431;Domaine Saint Jean de l'Arbousier
CHÂTEAU BOUSQUETTE;"Le domaine de la Bousquette est situé à flanc de coteaux, surplombant la vallée de l’Orb. Au cœur de l'appellation Saint-Chinian, Isabelle et Eric Perret vous livrent les secrets de leurs vins et de leur domaine, qui fut propriété de l’Abbaye de Foncaude jusqu’à la Révolution Française. Le domaine vous accueille aussi pour un séjour  avec de multiples activités à proximité : baignade et canoë sur l’Orb, abbaye de Fontcaude, sans oublier les plages de la Méditerranée.
Le Domaine de la Bousquette fut la propriété de l’Abbaye de Foncaude jusqu’à la Révolution Française. A cette époque elle fut acquise par le sieur Moustelou de Cessenon, auquel succéda une longue lignée de vignerons dont la famille Fabre-Ginoulhac qui s’en occupa jusqu’en 1996.
En 1972, le domaine adhère à la charte « Nature et Progrès », puis est régulièrement certifié par Ecocert.
En1996, Eric et Isabelle Perret, vignerons passionnés reprennent le domaine.";CESSENON-SUR-ORB;34460;34074;;Cave particulière;Ecocert;Vente de vins au caveau;43.4325376, 3.0833784;Route de Cazouls
DOMAINE CANET-VALETTE;Vignoble d'un seul tenant sur la partie argilo-calcaire, le Domaine Canet Valette se situe à 1,5 km du village de Cessenon-sur-Orb et sur la route de Causses et Veyran.;CESSENON-SUR-ORB;34460;34074;;Cave particulière;Ecocert;Vente de vins au caveau;43.4646753, 3.04792606;1497 Avenue de Causses
CHATEAU DE GOURGAZAUD;Perché dans sa pinède et adossé aux premiers contreforts de la Montagne Noire, le Château de Gourgazaud, constitue l'un des pionniers du développement des vins de qualité issus du Minervois. Le Château mentionné sur les cartes dès le 17ème siècle a été restauré sous sa forme actuelle en 1833. Perdu au cœur de son vignoble d'une superficie de 100 hectares, le Château a quelque chose d'une île. Ses différents terroirs déclinent leur palette de cépages les plus variés, allant des rouges, Syrah, Mourvèdre et Cabernet Sauvignon, au blancs, Sauvignon, Chardonnay et Viognier.;LA LIVINIERE;34210;34141;"Nous sommes ouverts du lundi au vendredi de 9h à11h30 et de 14h à 16h30 dans le respect des règles d'hygiène et gestes barrières.
Vous pouvez nous contacter par téléphone au 04.68.78.10.02 ou par mail à contact@gourgazaud.com";Cave particulière;Qualité Tourisme Occitanie Sud de France;Vente de vins au caveau;43.295417, 2.616936;Hameau de Gourgazaud
DOMAINE HAUT LIROU;"Fleuron de l'AOP Pic Saint Loup, c'est avec fierté que notre domaine se transmet depuis 1848 dans la famille, soit 5 générations de viticulteurs qui se succèdent !

Nichés au cœur de la garrigue, les 140 ha de vignes s’étendent sur les pentes calcairo-argileuses du Pic Saint-Loup et bénéficient d'une bonne amplitude thermique entre le jour et la nuit, autant d’éléments réunis pour produire des vins méditerranéens de qualité.

Le domaine propose aussi ses gîtes - Les lodges du Pic - au milieu des vignes pour prolonger votre séjour dans cet environnement viticole.

Plusieurs activités de découverte : Accords mets et vins, dégustation à la barrique, jeu de piste... et des soirées Guinguette à la belle saison.

Le saviez-vous : emprunté au territoire, le domaine porte le nom d'un cours d'eau qui coule en contrebas et s'illustre de vignes plantées à 300m d'altitude sur le flanc sud du Pic Saint­Loup. Parmi nos cuvées, « Les Costes » rend hommage aux parcelles d'Henri et au « mazet » où les enfants de la famille aimaient passer du temps ...";LE TRIADOU;34270;34314;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.7302363, 3.8452821;Domaine Haut-Lirou
DOMAINE DE BELLEFONTAINE;Sur les coteaux qui dominent le Mas Roujou, proche de Villeneuvette, et niché dans la vallée de la Dourbie, Christine et Hervé accueillent chaleureusement dans leur caveau. On est sur un vignoble avec de petites parcelles, travaillées manuellement autant que possible, en Agriculture Biologique. Aux beaux jours on se balade et on déguste !;LIEURAN-CABRIERES;34800;34138;;Cave particulière;Agriculture Biologique;Vente de vins au caveau;43.5944056, 3.4155303;Bellefontaine
DOMAINE DES PRADELS QUARTIRONI;"Nichées au hameau du Priou à Pierrerue, les vignes en coteaux du Domaine des Pradels Quartironi surplombent la magnifique vallée de Saint-Chinian. Engagés en agriculture biologique, Magali et Guilhem Quartironi accordent tout leurs soins à l'élaboration de leur vins (AOC Saint Chinian, IGP Pays d'Hérault Monts de la Gage), et vous accueillent toute l'année au caveau pour déguster leurs vins et découvrir le hameau.

Le Domaine des Pradels Quartironi, sur schistes d'altitude en agriculture biologique, bénéficie d'un terroir exceptionnel, qui favorise la fraicheur si caractéristique de ses vins et leur typicité. 
Vignerons indépendants, des ceps de leurs vignes à votre verre, Magali et Guilhem accordent tous leurs soins à l'élaboration de leurs vins : blancs, rosé et rouges, qu'ils vous invitent à découvrir !";SAINT-CHINIAN;34360;34201;;Cave particulière;Ecocert;Vente de vins au caveau;43.457669, 2.940816;Hameau le Priou
DOMAINE MORTIÈS;"Le domaine de Mortiès est une exploitation viticole en appellation Pic Saint Loup qui produit 50 000 cols en blancs, rosé et rouge. 
Le domaine se trouve sur le versant sud du Pic Saint Loup sur la commune de Saint Jean de Cuculles, il est composé de 12ha de vignes en production et 5ha de plantiers à venir le tout dans un cercle de nature de 85ha de forêt. 
Autour d'un Mas du XVIIIème siècle et de sa cave, le vignoble est conduit en agriculture biologique et pratique  la  biodynamie sur l’intégralité du vignoble. Le domaine produit des vins d'un grand équilibre et d'une élégance qui exprime le caractère unique d'un terroir exceptionnel constitué principalement de marnes et de calcaire.";SAINT-JEAN-DE-CUCULLES;34270;34266;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.7691104, 3.82169723;Route de Cazevieille
CHÂTEAU DES MOUCHÈRES;"Le domaine, adossé aux premiers contreforts cévenols, appartient à la famille depuis la fin du XVIIe siècle. De nos jours, Jean-Philippe exploite un vignoble de 28 ha et propose une gamme de vins complexes et typés, fruit d’un savoir faire ancestral

Le saviez-vous : Le domaine est construit selon le schéma des villas gallo-romaines, ses activités ont été longtemps agricoles, pastorales et sylvicoles avant de privilégier la culture de la vigne à partir de 1960.";SAINT-MATHIEU-DE-TREVIERS;34270;34276;;Cave particulière;;Vente de vins au caveau;43.784379, 3.8839356;1 chemin de la Vieille
BERGERIE DE FENOUILLET;"Calme et dépaysement garantis à la Bergerie de Fenouillet et ses vieilles bâtisses datant du 12ème siècle !
 
Au delà de la production de nos vins en AOP Pic Saint Loup,, AOP Languedoc et IGP Saint-Guilhem-le-désert, nous vous invitons à découvrir l'amour que l'on porte à la nature et à cet écrin de biodiversité.

La présence de brebis, de ruches et d'ânes sur le domaine en font un lieu où l'harmonie entre le vivant et la vigne est palpable et  offre une expérience épanouissante pour le visiteur de passage comme ceux qui séjournent plus longtemps dans nos gîtes.";VACQUIERES;34270;34318;;Cave particulière;Séjour en vignoble;Vente de vin à la propriété (pas de caveau);43.844566, 3.94367;3, Chemin de Fenouillet
DOMAINE DU POUJOL;"Un vignoble à taille humaine situé entre le Pic Saint-Loup, Saint-Georges-d’Orques et Aniane. les vignes sont nichées dans une magnifique combe, au pied d'une falaise calcaire bordant la Mosson

Le saviez-vous : notre viticulture respecte depuis longtemps la nature, et a fait l'objet d'une certification biologique lors de la récolte 2020. Un travail récompensé par une médaille d’argent (Vignerons Indépendants) pour leur Carignan blanc, et une médaille d’or (concours de Bruxelles) pour le Haut Poujol rouge 2016";VAILHAUQUES;34570;34320;;Cave particulière;Agriculture Biologique;Vente de vins au caveau;43.6676813, 3.73652082;1067 route de Grabels
DOMAINE LE NOUVEAU MONDE SCEA GAUCH;Domaine familial depuis trois générations, le Domaine Le Nouveau Monde est situé à Vendres, entre mer et étang. Ce vignoble propose une large gamme de vins : Pays d’Oc Rouge, Rosé, Blanc, ainsi que des AOC Coteaux du Languedoc et Terrasses de Béziers. Reconnu pour la qualité de ses vins, régulièrement primés dans le Guide Hachette et les revues spécialisées, le domaine reflète l’excellence de son terroir. La famille GAUCH-BORRAS vous accueille avec passion pour vous faire découvrir ses cuvées et partager son amour du vin et de la région.;VENDRES;34350;34329;"Caveau de vente ouvert du lundi au samedi de 9h30 à 12h et de 15h à 19h30.
Pas de dégustation durant le confinement
Accès libre , masque et désinfection des mains obligatoires";Cave particulière;Agriculture Biologique;Vente de vins au caveau;43.2265275, 3.24375772;Route du Chichoulet
DOMAINE LA LINQUIERE;"De tradition viticole familiale depuis 5 générations, Robert Salvestre, passionné de viticulture, a toujours souhaité reconstituer en un seul Domaine les vignes de son grand-père Joseph, négociant en vins à Saint-Chinian et aussi vigneron. C'est ainsi que le Domaine la Linquière a vu le jour. Les vignes, situées dans la zone AOC Saint-Chinian, où chacune d'entre elle offre une typicité différente.
C'est le lin, cultivé ici bien avant la vigne qui inspira le nom du domaine. Dans un vignoble « à l'ancienne », aux parcelles morcelées dans le terroir de Saint-Chinian, Pierre Salvestre produit une large gamme de vins : AOC Saint-Chinian, vins de Pays Monts de la Grage, AOC Saint Jean de Minervois.
La Linquière dispose entre autres de 20 hectares cultivés en vigne.
Au Nord, les vignes sont entourées de bosquets de chênes verts et d'arbousiers. Plus au sud, sur la crête rocheuse, à l'abri des murets de pierres sèches, elles résistent à la tramontane et au brûlant soleil de l'été méditerranéen. Sur les rives du Vernazobre, ce sont les alluvions et la fraîcheur du cours d'eau (les nuits d'été) qui leur donnent toute leur vigueur.";SAINT-CHINIAN;34360;34245;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.4204879, 2.9485736;12 avenue de Béziers
DOMAINE DE PREIGNES LE NEUF;"200 hectares de vignes ceinturant un élégant château de la fin du XIIIème siècle. Des vins élégants gorgés de soleil issus d'un terroir authentique. Vins de pays d'Oc. 
Visite guidée sur demande. Tous les jours jusqu'à 18h.";VIAS;34450;34332;;Cave particulière;Terra Vitis;Vente de vins au caveau;43.3295482, 3.37057113;Chemin de Preignes
LE ROCHER DES FEES;"Balades découverte autour de l'exploitation, thématiques agricoles, patrimoniales, environnementales et dégustation de produits autour du raisin de l'olive et de la figue.
Découverte aussi de Vendémian et de l'histoire viticole du village, dans les vignes avec découverte des mazets et leur histoire, les oliviers : avec un parcours découvertes d'arbres remarquables pluri-centenaires et histoire de l'oléiculture dans la région.";VENDEMIAN;34230;34328;;Producteur;Vignobles et Découvertes;Vente des produits de l’exploitation;43.5802539, 3.5597702;3 rue du frau
LA CAVE A MIEL;"Apiculteurs transhumants depuis 1995, nous produisons 10 à 12 miels issus de sites naturels préservés. Ils reflètent la diversité de la géographie méditerranéenne.
Du miel de cru au miel toutes fleurs, chacun d'eux est l'expression d'un paysage singulier et d'un terroir.
Ils révèlent un terroir particulier : un sol, un microclimat.
Leur production nécessite une connaissance fine de la région et une sélection rigoureuse des emplacements de ruchers.
Ce travail nous permet de vous offrir des miels spécifiques de qualité gustative particulière.
Il est la garantie de fragrances, d'arômes, de textures uniques, parfois inattendues.";LA BOISSIERE;34150;34035;;Producteur;;Vente des produits de l’exploitation;43.6641576, 3.6449291;Route d'Argelliers
DOMAINE DE GABELAS;"Les vignes du domaine s’étendent autour de la haute maison languedocienne jusqu’à la garrigue environnante à Cruzy. Sur le terroir de l’appellation Saint Chinian, à 8.5km du Canal du Midi, Pierrette Cravero perpétue avec succès la tradition familiale, revendiquant une fabrication artisanale, tout en ayant amorcé un virage en 2005 avec le passage de la production en agriculture biologique.
Accueil dans un petit domaine viticole typique, situé en campagne, à proximité du village de Cruzy, et dont l’activité a perduré depuis la fin de XIX siècle. Les vignes sont réparties autour des bâtiments, la maison d’habitation, l’ancienne écurie et la cave de vinification. Le domaine de Gabelas produit des vins biologiques pour respecter et protéger la nature.
Dans l'esprit des anciens, les vignerons du domaine de Gabelas reconstruisent les murets de pierres qui entourent les vignes.
""Faire artisanal et au plus proche du terroir"" est la devise du domaine.";CRUZY;34310;34092;;Cave particulière;Ecocert;Vente de vins au caveau;43.386945, 2.94669399;GABELAS
DOMAINE MORIN LANGARAN;La famille Morin vous reçoit sur son domaine viticole situé entre vignes et étang. Dominant le Bassin de Thau et longeant la Via Domitia, le domaine existe depuis 1330. Productions de la ferme : Vin AOC Picpoul de Pinet, Vin de Pays d'Oc rouge, rosé et blanc.;MEZE;34140;34157;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.4190902, 3.54752496;Route de Marseillan
DOMAINE PUECH MERLE;Depuis 1932, le Domaine Puech Merle est géré par la famille Anterrieu. Aujourd'hui, le domaine s'étend sur 39 hectares dont 5 sur la commune de Murviel-lès-Montpellier pour son AOP Saint-Georges-d'Orques. Il se situe au nord-ouest de Montpellier, sur la commune de Montarnaud, au pied des Monts de la Rouvière qui surplombe la mer Méditerranée. Jean-Pascal Anterrieu, propriétaire récoltant, oenologue de profession et vigneron indépendant, cultive son savoir-faire en élaborant des vins AOP Saint-Georges-d’Orques et des vins IGP Collines de la Moure.;MONTARNAUD;34570;34163;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.6515265, 3.696994;249 Avenue d'Argelliers
CHATEAU CASTIGNO;"Dans un vignoble qui semble avoir été posé là comme un jardin de l’antiquité, avec ses murs de pierres, ses vignes torturées… retrouvez l'expression du temps passé et l’histoire d’un terroir.
Un terroir qui s'inscrit dans l'appellation Saint-Chinian auquel Marc Verstraete, viticulteur, est très attaché. A Assignan, découvrez ce domaine unique, un lieu vrai sur lequel trône également le Village Castigno.
Le vignoble de Castigno, labellisé vignobles et découvertes respire dans un micro-climat très singulier, entre bois et roches, entre chênes truffiers et garrigue dense.
Au sein de cette nature sauvage et préservée, la vigne puise son concentré aromatique, sa spécificité, sa richesse.
Tantôt elle se défend contre la violence des vents et des pluies ravageuses, contre le froid ou la chaleur de plomb, tantôt elle bénéficie de la sérénité méditerranéenne, et ce combat lui donne tout son caractère.
Visite commentée de la Cave et dégustation de 5 vins bios du Château Castigno, vue à 180° sur les vignes.";ASSIGNAN;34360;34015;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.401243, 2.886565;Lieu dit Castignan
LES VIGNERONS DE CRUZY;Groupement de coopérateurs des communes de Cruzy, Cébazan et Montouliers;CRUZY;34310;34092;;Coopérative;;Vente de vins au caveau;43.3577802, 2.9429642;5 rue des vignerons
DOMAINE COMPS;"Le respect des usages ancestraux est, ici, plus qu'une méthode, une véritable philosophie. La vendange manuelle, les vinifications soignées, le pressurage très doux à l'ancienne (pressoir hydraulique), l'élevage successif de foudre en fût, la mise en bouteille au domaine même, en sont les différents témoignages.

Cependant, toutes les technologies les plus récentes en matière de conduite du vignoble ou de vinification sont utilisées lorsque elles permettent de renforcer la qualité des vins obtenus.
C'est ainsi que nous égrappons la vendange, que nous sommes équipés de cuverie thermorégulée, et que notre vin fait l'objet d'un suivi analytique et organoleptique régulier.
Ceci dans un seul but: ""Naturel et bénéfique, le vin doit rester avant tout un vrai plaisir pour celui qui le déguste"".";PUISSERGUIER;34620;34225;;Cave particulière;;Vente de vins au caveau;43.3690139, 3.0423667;23 rue Paul Riquet
DOMAINE MARCO PAULO;"Famille de vignerons installée à Saussines depuis 1720, la vinification en cave particulière a été arrêtée en 1948 à la construction de la cave coopérative.
C'est en 2010 que la cave familiale, au coeur du village et datant des années 1850, a été rénovée et ré-équipée de matériel moderne (cuves inox, pressoir pneumatique, groupe froid...). Le domaine a été ré-encépagé sur 3 hectares car sa réhabilitation se fait en pluri-activité.
Le travail sur de petits volumes va permettre l'utilisation de techniques plus contraignantes à mettre en oeuvre à grande échelle pour obtenir des produits originaux (à la vigne : vendanges en vert, vendanges manuelles ou à la cave : pigeages manuels, travail gravitaire...).
Dans un seul but, donner du plaisir au dégustateur.";SAUSSINES;34160;34296;Prise de rendez vous au 0622209167;Cave particulière;Agriculture Biologique;Vente de vins au caveau;43.7631761, 4.0550604;21 rue des Aires
DOMAINE DES LAUX;"Le domaine des Laux,"" un voyage entre terroir et traditions"".
Issu d'une famille vigneronne indépendante de père en fils depuis 1820, le domaine des Laux est une magnifique vitrine des trésors viticoles occitans. 
Le vignoble de 40 hectares est idéalement situé entre Pomerols et Marseillan, non loin de l’Etang de Thau.

Le domaine bénéficie de l’alliance parfaite entre le climat méditerranéen, un ensoleillement généreux et une terre riche et fertile.  L’association de ces éléments naturels donne naissance à des vins atypiques médaillés. Blancs, rosés ou rouges, les vins du Domaine des Laux sont tous labellisés IGP Côtes de Thau .

Des visites du domaine et de la cave sont possibles, après avoir fait le tour du chai vous pouvez visionner un diaporama sur le processus d’élaboration du vin, à l'issue une dégustation est proposée.

#œnoloisirs";POMEROLS;34810;34207;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.3829139, 3.50671998;382 avenue de Marseillan
DOMAINE MARION PLA;"Jean-Pierre Pla succède à son père, modeste viticulteur. Il rêve de créer son vignoble autour des 4 hectares de vigne reçus en héritage qui constituent son patrimoine viticole de départ. Dés le début de sa carrière (1978) il éprouve un attachement particulier pour cette terre familiale qu'il veut ennoblir.
Sa devise: ""améliorer l'exploitation pour améliorer la production""
30 années d'obstination 30 années de travail acharné
Aujourd'hui l'exploitation est entièrement classée dans l'appellation A.O.C Saint-Chinian
Fier de ce résultat et homme de terrain, il envisage un nouvel avenir : ""devenir vigneron indépendant pratiquant une agriculture biologique"". Sa fille Marion au terme de ses études de viti-œnologique le rejoint dans cette aventure.";CESSENON-SUR-ORB;34460;34074;;Cave particulière;;Vente de vins au caveau;43.4503159, 3.046188;15, rue de la savonnerie
DOMAINE DE LA GRANDE COURTADE;Situé sur la commune de Béziers, le vignoble occupe un terrain en amphithéâtre exposé au midi, se déployant autour de la cuvette de la Courtade. Les coteaux sont sur des sols calcaires plus profonds, propices à une belle maturation des cépages méridionaux. Cette terre en basse altitude est cultivée depuis le XVIème siècle, grâce à un réseau de 'maïres’ (ruisseaux permettant l’écoulement des eaux pluviales. Caveau de vente situé 11200 Luc sur Orbieu.;BEZIERS;34500;34032;Le caveau est ouvert aux horaires indiqués toute la semaine et le samedi uniquement sur rendez-vous.                       Venez récupérer vos commandes (par mail ou téléphone) en formule Drive .;Producteur;Agriculture Biologique;Vente de vin à la propriété (pas de caveau);43.3216202, 3.1366998;Route de Montady
MOULIN DE LA DENTELLE;Exploitation sur 16.5ha dont 7 en AB. Huile mono variétale, aoc huile d'olive du Languedoc ,AOP Lucques du Languedoc, picholine, Lucques noire, tapenade et pate d'olive, cosmétique à  base d'huile d'olive. Visite des oliveraies et du moulin (le jeudi matin du 15 juin au 15 aout rdv 9h);VILLEVEYRAC;34560;34341;;Producteur;Bienvenue à la ferme;Vente des produits de l’exploitation;43.4998715, 3.59349303;34 rue Sautaroch
TRUFFES - GOEMINNE CHRISTINE;"La Vallée de la Buèges est propice à la culture fragile et variable de la truffe noire de !'Hérault, que Christine & Marc « cavent » avec leur chienne Maya.
Le saviez-vous : la truffe se brosse sous l'eau du robinet juste avant de la préparer pour éliminer toute trace de terre, se sèche avec du papier absorbant mais ne se cuit pas !
Le petit plus : vous pouvez les retrouver à l'occasion des marchés et Fêtes de la Truffe organisés par le syndicat des trufficulteurs de l'Hérault Janvier : Claret, Saint-Guilhem-le-Désert, Saint-Génies-des-Mourgues et Laurens Février : Saint-Jean-de-Buèges et Villeveyrac";SAINT-JEAN-DE-BUEGES;34380;34264;"la vente de truffes fraîches se fait de décembre à mars
dans les strictes mesures sanitaires;
       par réservation au 06 64 50 18 77
                          06 61 65 01 45
                          04 67 73 12 26   
           ou par mail à : marc.goeminne@sfr.fr  
 -prise de rdv obligatoire pour les retraits à domicile
 -livraison gratuite possible selon distance et quantité
 -envoi possible(sous vide) par la poste ou transporteur.";Producteur;;Vente des produits de l’exploitation;43.827728, 3.616287;Rue de la Séranne
DOMAINE DES COMPAGNONS DE MAGUELONE;"Le domaine de Maguelone est situé dans un cadre exceptionnel. Entre terre, mer et étangs, les vignes de ce domaine insulaire entoure la Cathédrale à 360°, monument historique prestigieux.
Les vins de Maguelone sont labellisés BIO depuis 2014 et respectent une approche écoresponsable de la vigne et de l’environnement insulaire sur un terroir volcanique de 18 ha.

Les Compagnons produisent des vins solidaires grâce un ESAT*. Les vins sont produits, élevés, mis en bouteille et commercialisés en collaboration avec les personnes en situation de handicap. 
La gamme des 3 Anneaux se décline en 6 cuvées baptisées “Insula”, “La Volta” & “Witiza”. Les noms sont liés à l’histoire de la presqu’île de Maguelone. 

Les 3 anneaux rappellent les 3 missions principales de l’Association : médico-sociale, patrimoniale et culturelle ; ainsi que la légende médiévale de Pierre de Provence et de la belle Maguelone. 
Des espaces pour les séminaires et privatisation pour des événements sont proposés";VILLENEUVE-LES-MAGUELONE;34750;34337;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.5122523, 3.88469975;Presqu'île de Maguelone
LES CLOS DE MIEGE;"Les Clos de Miège sont nés, entre terre et eau, au cœur d’un paysage viticole hors normes, encépagé en muscat à petits grains. Florence Monferran, historienne et vigneronne, vous propose ses vins élevés au long cours, Certifiés biologiques, ils reproduisent des gestes oubliés, des pratiques anciennes d’excellence. 
Ils se rattachent à une culture que la chroniqueuse des patrimoines met en lumière à travers deux ouvrages et quelques évènements. Conférences, balades et master class vous convient tout au long de l’année à une alliance du vin, de l’histoire et d’une nature à préserver.
Accueil sur RDV";VIC-LA-GARDIOLE;34110;34333;;Cave particulière;Agriculture Biologique;Vente de vin à la propriété (pas de caveau);43.48438, 3.79776;44 rue des Jardins
SAS GENS ET PIERRES - MAS DES QUERNES;"Le Mas des Quernes est un vignoble de 22ha, situé en bordure des terrasses du Larzac, dans l'Hérault, à une quarantaine de kilomètres au nord de Montpellier.
En Bio depuis sa création, les premiers crus certifiés sont vinifiés en 2012.";MONTPEYROUX;34150;34173;;Cave particulière;Ecocert;Vente de vin à la propriété (pas de caveau);43.695436, 3.506458;1bis impasse du pressoir
DOMAINE DE MEDEILHAN;"Christine de Saussine vous accueille dans ce domaine familial, cultivé dans le respect de l’environnement “certification Terra Vitis”, et situé aux abords du Canal du Midi, à un kilomètre de la Méditerranée. 

Une large gamme de vins médaillés y est à découvrir. 
Ouvert du lundi au vendredi de 9h à 17h.

#œnoloisirs";VIAS;34450;34332;;Cave particulière;Terra Vitis;Vente de vins au caveau;43.3059687, 3.39151681;Chemin de Médeilhan
CHEZ PENDA POISSONS & COQUILLAGES;"Famille de pécheurs valrassien depuis 1955 , la famille Pendaries vous accueille toute l'année pour vous partager poisson frais et coquillages 

Dans les halles Marty tous les matins de 8h00 à 12h00. 
Poisson frais Méditerranée , coquillages , crustacés et plats cuisinés à emporter 

Au kiosque Boulevard de la République de 11h30 jusqu'au soir 
Dégustation de coquillages sur place ou à emporter";VALRAS-PLAGE;34350;34324;;Producteur;;Vente des produits de l’exploitation;43.2472715, 3.2933404;4 Boulevard de la République
DOMAINE DE LA GRANDE SIESTE;"À l’origine de La Grande Sieste, il y a nous : Boris et Leticia.
Nous sommes un couple de vignerons passionnés et affectifs.  D’ailleurs pour preuve, le domaine est né le 19 mars 2015, le jour de l’anniversaire de Leticia. Depuis cette date très symbolique  nous nous sommes entourés d’une équipe investie, au savoir-faire pointu et à la sensibilité aiguisée, qui nous aide à concevoir les vins de nos rêves
Si nous avons créé La Grande Sieste, c’est parce que nous sommes passionnés par les vigne et le vin, parce que nous avons soif de partage aussi. Nos vins sont faits pour réunir, rassembler, relier...Relier les gens entre eux, femmes et hommes. Les relier à la Terre aussi. Ce sont des vins de célébration, faits pour être bus en bonne compagnie, autour d’une grande tablée. Nous les concevons comme autant de traits d’Union d’amour et d’amitié.";ANIANE;34150;34010;Masques à disposition gel hydroalcoolique toilettes pour les invités;Cave particulière;Vignobles et Découvertes;Vente de vin à la propriété (pas de caveau);43.6645076, 3.57125556;1434 Ancienne route de Gignac
DOMAINE CLOS GUILHEM;"C’est au cœur de la Vallée ensoleillée de l’Hérault que se situe le domaine Clos Guilhem. Surplombées par le Larzac, au pied du mont Baudille, dans les méandres du fleuve Hérault, encerclées de garrigue et de ruffe. Les différentes parcelles de vignes (10 000 pieds) sont constituées de plusieurs tènements et permettent d’exploiter avec richesse la variété géologique de notre terre méditerranéenne.

Tous les vins sont certifiés biologiques et font partie de l'Indication Géographique Protégée Saint-Guilhem le Désert. La vendange est manuelle. Seul les rouges sont égrappés et suivent une macération courte. Blancs et rosé suivent une fermentation basse température. Les levures sont indigènes et les vins rouges sont nature sans aucun intrants. L'élevage se fait en cuve et en 1/2 muid pour une durée de 12 à 48 mois.";GIGNAC;34150;34114;;Cave particulière;Agriculture Biologique;Vente de vin à la propriété (pas de caveau);43.6617145, 3.5463396;196, Chemin croix de campagne
DOMAINE DE CLEMENTINE;"Les aïeux de Christophe étaient viticulteurs coopérateurs, à leur départ, Christophe fait une reprise partielle des parcelles et devient Vigneron Indépendant, avec sa fille Clémentine, ils créent le domaine et la cave en 2009, une passion familiale qui tend a perdurer.
Aujourd'hui, un caveau de vente à été inauguré";MONTPEYROUX;34150;34173;;;;Vente de vin à la propriété (pas de caveau);43.6934785, 3.5024495;2, Impasse Barthassade
